2.94	34.34
3.06	34.52
3.07	34.318
3.16	34.36
3.26	34.49
3.31	34.38
3.32	34.352
3.48	34.47
3.55	34.56
3.55	34.5
3.56	34.24
3.65	34.42
3.76	34.47
3.87	34.43
3.89	34.379
3.99	34.45
3.99	34.34
4.01	34.23
4.12	34.268
4.27	34.47
4.31	34.151
4.39	34.061
4.41	34.318
4.43	34.22
4.52	34.28
4.53	34.288
4.57	34.476
4.71	34.376
4.72	34.261
4.82	34.261
4.89	33.991
5.03	34.34
5.08	34.119
5.14	34
5.26	34.4
5.52	34.04
5.58	34.167
5.6	34.04
5.62	34.014
5.66	34.451
5.7	34.43
5.71	33.952
5.79	33.955
5.81	33.982
5.87	34.073
6.04	33.987
6.28	34.114
6.34	34
6.4	34.061
6.42	33.98
6.47	34.026
6.49	34.04
6.49	33.947
6.52	33.96
6.68	33.967
6.72	34.073
6.76	33.95
6.82	33.86
6.87	33.895
6.98	33.938
7.06	33.934
7.06	34.213
7.15	33.999
7.18	34.02
7.35	33.96
7.36	34.04
7.49	33.828
7.5	33.833
7.52	33.96
7.52	33.869
7.61	33.874
7.63	34.02
8.15	33.96
8.15	33.773
8.2	33.84
8.31	33.78
8.34	34
8.35	33.87
8.49	34.047
8.59	32.52
8.6	33.34
8.61	33.33
8.66	33.891
8.79	33.6
8.83	33.39
8.86	32.94
8.87	33.969
8.94	33.479
8.96	34.09
9.05	33.607
9.09	33.837
9.18	33.08
9.23	33.033
9.23	32.65
9.27	33.671
9.28	33.329
9.38	33.586
9.6	33.104
9.65	32.722
9.67	33.62
9.69	32.43
9.82	32.61
9.86	33.494
9.95	33.549
9.99	32.739
10.01	34.23
10.02	33.58
10.07	32.641
10.14	32.657
10.21	33.401
10.25	33.26
10.31	32.75
10.36	33.579
10.38	33.893
10.39	33.368
10.42	33.17
10.45	33.431
10.45	33.421
10.48	33.398
10.5	32.75
10.5	32.979
10.5	33.44
10.51	33.39
10.6	33.42
10.66	32.92
10.74	33.24
10.76	33.213
10.77	32.92
10.93	33.579
10.97	32.92
11.03	32.917
11.04	33.87
11.13	33.53
11.35	32.63
11.4	32.86
11.69	33.575
11.74	33.265
11.77	33.4
11.78	32.88
11.85	33.252
11.92	33.31
11.99	32.92
12	32.97
12.08	33.37
12.29	33.285
12.31	33.632
12.36	33.272
12.43	33.24
12.64	33.068
12.64	33.158
12.69	33.28
12.86	33.15
12.9	33.042
13	33.276
13.05	33.548
13.07	33.58
13.13	33.15
13.18	33.488
13.22	33.478
13.32	33.275
13.71	33.478
13.73	33.51
13.8	33.48
13.9	33.53
13.9	33.08
13.93	33.35
13.94	33.15
14	33.4
14	33.698
14.02	33.46
14.21	33.488
14.28	33.62
14.39	33.55
14.4	33.24
14.41	33.58
14.42	33.57
14.5	33.622
14.59	33.664
14.59	33.69
14.68	33.656
14.69	33.651
14.95	33.654
15.3	33.836
15.38	33.78
15.45	33.758
15.48	33.77
15.52	33.69
15.69	33.86
15.82	33.75
15.86	33.62
15.92	33.75
15.93	33.863
16.01	33.84
16.02	33.849
16.09	33.864
16.1	33.77
16.14	33.808
16.52	33.851
16.82	33.953
17.1	33.95
